Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2014 [YR2014]
Internet users (per 100 people),IT.NET.USER.P2,Eritrea,ERI,..,0,0.136711941104496,0.61,0.99
Internet users (per 100 people),IT.NET.USER.P2,Estonia,EST,..,0,28.5769538105646,74.1,84.24
Internet users (per 100 people),IT.NET.USER.P2,Ethiopia,ETH,..,0,0.0152637672082567,0.75,2.9
Internet users (per 100 people),IT.NET.USER.P2,Faeroe Islands,FRO,..,0,32.916392363397,75.2,94.66
Internet users (per 100 people),IT.NET.USER.P2,Fiji,FJI,..,0,1.4968547339902,20,41.8
Internet users (per 100 people),IT.NET.USER.P2,Finland,FIN,..,0.401087669542265,37.2484617371121,86.89,92.38
Internet users (per 100 people),IT.NET.USER.P2,France,FRA,..,0.0527778615870672,14.3079239430677,77.28,83.75
Internet users (per 100 people),IT.NET.USER.P2,French Polynesia,PYF,..,0,6.3570635452072,49,60.68
Internet users (per 100 people),IT.NET.USER.P2,Gabon,GAB,..,0,1.21614061828589,7.23,9.81
Internet users (per 100 people),IT.NET.USER.P2,"Gambia, The",GMB,..,0,0.921794919066406,9.2,15.56
Internet users (per 100 people),IT.NET.USER.P2,Georgia,GEO,..,0,0.484746298540492,26.9,48.9
Internet users (per 100 people),IT.NET.USER.P2,Germany,DEU,..,0.125892223365436,30.2163466048889,82,86.19
Internet users (per 100 people),IT.NET.USER.P2,Ghana,GHA,..,0,0.153615297625799,7.8,18.9
Internet users (per 100 people),IT.NET.USER.P2,Greece,GRC,..,0,9.13883730776798,44.4,63.21
Internet users (per 100 people),IT.NET.USER.P2,Greenland,GRL,..,0,31.7478112321162,63,66.7
Internet users (per 100 people),IT.NET.USER.P2,Grenada,GRD,0,0,4.06390799146313,27,37.38
Internet users (per 100 people),IT.NET.USER.P2,Guam,GUM,..,0,16.1131270423389,54.04,69.27
Internet users (per 100 people),IT.NET.USER.P2,Guatemala,GTM,..,0,0.712332904508925,10.5,23.4
Internet users (per 100 people),IT.NET.USER.P2,Guinea,GIN,..,0,0.0954249236063846,1,1.72
Internet users (per 100 people),IT.NET.USER.P2,Guinea-Bissau,GNB,..,0,0.230103170591588,2.45,3.32
Internet users (per 100 people),IT.NET.USER.P2,Guyana,GUY,..,0,6.61149156572021,29.9,37.35
Internet users (per 100 people),IT.NET.USER.P2,Haiti,HTI,..,0,0.231270714628821,8.37,11.4
Internet users (per 100 people),IT.NET.USER.P2,Honduras,HND,..,0,1.20385599891878,11.09,19.08
Internet users (per 100 people),IT.NET.USER.P2,"Hong Kong SAR, China",HKG,..,0,27.8277606812581,72,74.56
Internet users (per 100 people),IT.NET.USER.P2,Hungary,HUN,..,0,6.99967635062916,65,76.13
Internet users (per 100 people),IT.NET.USER.P2,Iceland,ISL,..,0,44.470533824288,93.39,98.16
Internet users (per 100 people),IT.NET.USER.P2,India,IND,..,0,0.527532449930946,7.5,18
Internet users (per 100 people),IT.NET.USER.P2,Indonesia,IDN,..,0,0.925563864466858,10.92,17.14
Internet users (per 100 people),IT.NET.USER.P2,"Iran, Islamic Rep.",IRN,..,0,0.934190019959829,15.9,39.35
Internet users (per 100 people),IT.NET.USER.P2,Iraq,IRQ,..,0,..,2.5,11.3
Internet users (per 100 people),IT.NET.USER.P2,Ireland,IRL,..,0,17.8504672405807,69.85,79.69
Internet users (per 100 people),IT.NET.USER.P2,Isle of Man,IMY,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Israel,ISR,..,0.110773866229479,20.8737899981674,67.5,71.45
Internet users (per 100 people),IT.NET.USER.P2,Italy,ITA,..,0.017544562355015,23.1108742441037,53.68,61.96
Internet users (per 100 people),IT.NET.USER.P2,Jamaica,JAM,..,0,3.11577802729967,27.67,40.5
